2026-05-04 16:34:48 | INFO     | api_testing_agent.core.target_registry | thread=- | target=- | op=- | case=- | source=target_registry_from_file | Loading target registry from path=./targets.json
2026-05-04 16:34:48 | INFO     | api_testing_agent.core.target_registry | thread=- | target=- | op=- | case=- | source=target_registry_from_file | Loaded target registry successfully. target_count=11
2026-05-04 16:34:48 | INFO     | api_testing_agent.core.target_registry | thread=- | target=- | op=- | case=- | source=target_registry_init | Initialized TargetRegistry with target_count=11.
2026-05-04 16:34:48 | INFO     | api_testing_agent.core.openapi_ingestor | thread=- | target=- | op=- | case=- | source=openapi_ingestor_init | Initialized OpenApiIngestor. timeout_seconds=222222.0
2026-05-04 16:36:26 | INFO     | api_testing_agent.core.target_registry | thread=- | target=- | op=- | case=- | source=target_registry_from_file | Loading target registry from path=./targets.json
2026-05-04 16:36:26 | INFO     | api_testing_agent.core.target_registry | thread=- | target=- | op=- | case=- | source=target_registry_from_file | Loaded target registry successfully. target_count=11
2026-05-04 16:36:26 | INFO     | api_testing_agent.core.target_registry | thread=- | target=- | op=- | case=- | source=target_registry_init | Initialized TargetRegistry with target_count=11.
2026-05-04 16:36:26 | INFO     | api_testing_agent.core.openapi_ingestor | thread=- | target=- | op=- | case=- | source=openapi_ingestor_init | Initialized OpenApiIngestor. timeout_seconds=222222.0
2026-05-04 16:36:26 | INFO     | api_testing_agent.core.ai_testcase_agent | thread=- | target=- | op=- | case=- | source=ai_testcase_agent_set_model | Setting AI testcase model to claude-sonnet-4-6
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.ai_testcase_agent | thread=- | target=- | op=- | case=- | source=ai_testcase_agent_set_model | AI testcase agent model initialized successfully.
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.ai_testcase_agent | thread=- | target=- | op=- | case=- | source=ai_testcase_agent_init | Initialized AITestCaseAgent with model=claude-sonnet-4-6.
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.target_resolution_agent | thread=- | target=- | op=- | case=- | source=target_resolution_set_model | Setting target resolution model to claude-sonnet-4-6
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.target_resolution_agent | thread=- | target=- | op=- | case=- | source=target_resolution_set_model | Target resolution agent model initialized successfully.
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.target_resolution_agent | thread=- | target=- | op=- | case=- | source=target_resolution_init | Initialized TargetResolutionAgent with model=claude-sonnet-4-6.
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.scope_confirmation_agent | thread=- | target=- | op=- | case=- | source=scope_confirmation_agent_init | Initialized ScopeConfirmationAgent.
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.scope_resolution_agent | thread=- | target=- | op=- | case=- | source=scope_resolution_set_model | Setting ScopeResolutionAgent model to claude-sonnet-4-6
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.scope_resolution_agent | thread=- | target=- | op=- | case=- | source=scope_resolution_set_model | ScopeResolutionAgent model initialized successfully.
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.scope_resolution_agent | thread=- | target=- | op=- | case=- | source=scope_resolution_init | Initialized ScopeResolutionAgent with model=claude-sonnet-4-6.
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.feedback_scope_agent | thread=- | target=- | op=- | case=- | source=feedback_scope_set_model | Setting FeedbackScopeAgent model to claude-sonnet-4-6
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.feedback_scope_agent | thread=- | target=- | op=- | case=- | source=feedback_scope_set_model | FeedbackScopeAgent model initialized successfully.
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.feedback_scope_agent | thread=- | target=- | op=- | case=- | source=feedback_scope_agent_init | Initialized FeedbackScopeAgent with model=claude-sonnet-4-6.
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.domain_alias_resolver | thread=- | target=- | op=- | case=- | source=domain_alias_init | Initialized DomainAliasResolver with rules_count=9.
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.dynamic_target_resolver | thread=- | target=- | op=- | case=- | source=dynamic_target_from_env | Loading DynamicTargetResolver from env/default path=./targets.json
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.dynamic_target_resolver | thread=- | target=- | op=- | case=- | source=dynamic_target_from_file | Loading DynamicTargetResolver from path=./targets.json
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.dynamic_target_resolver | thread=- | target=- | op=- | case=- | source=dynamic_target_from_file | Built DynamicTargetResolver from file successfully. enabled_targets=11, unique_aliases=35
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.dynamic_target_resolver | thread=- | target=- | op=- | case=- | source=dynamic_target_init | Initialized DynamicTargetResolver with alias_count=35 and enabled_target_count=11.
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.nl_interpreter | thread=- | target=- | op=- | case=- | source=nl_interpreter_init | Initialized NaturalLanguageInterpreter.
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.intent_parser | thread=- | target=- | op=- | case=- | source=intent_parser_init | Initialized RuleBasedIntentParser.
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.request_understanding_service | thread=- | target=- | op=- | case=- | source=understanding_init | Initialized RequestUnderstandingService.
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.reporter.testcase.testcase_reporter | thread=- | target=- | op=- | case=- | source=testcase_reporter_init | Initialized TestcaseDraftReporter at root_dir=reports\testcase_drafts.
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.feedback_scope_refiner | thread=- | target=- | op=- | case=- | source=feedback_scope_refiner_init | Initialized FeedbackScopeRefiner.
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.testcase_review_graph | thread=- | target=- | op=- | case=- | source=review_graph_compile | Compiled testcase review graph.
2026-05-04 16:36:27 | INFO     | api_testing_agent.tasks.orchestrator | thread=- | target=- | op=- | case=- | source=orchestrator_init | Initialized TestOrchestrator.
2026-05-04 16:36:27 | INFO     | api_testing_agent.tasks.ai_intent_agent | thread=- | target=- | op=- | case=- | source=ai_intent_agent_init | Initialized AIIntentAgent.
2026-05-04 16:36:27 | INFO     | api_testing_agent.tasks.hybrid_conversation_router | thread=- | target=- | op=- | case=- | source=hybrid_router_init | Initialized HybridConversationRouter.
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.scope_recommendation_agent | thread=- | target=- | op=- | case=- | source=scope_recommendation_agent_init | Initialized ScopeRecommendationAgent.
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.unknown_output_description_service | thread=- | target=- | op=- | case=- | source=unknown_output_service_init | Initializing UnknownOutputDescriptionService. model_name=claude-sonnet-4-6, model_provider=anthropic
2026-05-04 16:36:27 | INFO     | api_testing_agent.core.unknown_output_description_service | thread=- | target=- | op=- | case=- | source=unknown_output_service_init | UnknownOutputDescriptionService initialized successfully.
